Date,WindSpeed,WindDirection,WindEnergy
09/06/2017 00:00:00,4.9,239,7094.39
10/06/2017 00:00:00,5.84,254,12207.96
11/06/2017 00:00:00,5.45,356,15514.05
12/06/2017 00:00:00,6.18,68,49728.86
13/06/2017 00:00:00,6.24,76,43343.09
14/06/2017 00:00:00,5.24,344,8141.24
15/06/2017 00:00:00,5.8,20,28822.87
16/06/2017 00:00:00,8.63,86,94756.9
17/06/2017 00:00:00,6.65,93,50638.14
18/06/2017 00:00:00,5.43,102,6410.34
19/06/2017 00:00:00,5.14,203,1393.97
20/06/2017 00:00:00,6.09,152,18075.62
21/06/2017 00:00:00,6.23,221,21862.55
22/06/2017 00:00:00,4.57,299,736.88
23/06/2017 00:00:00,4.99,322,5346.32
24/06/2017 00:00:00,5.35,334,5440.93
25/06/2017 00:00:00,5.42,72,26138.8
26/06/2017 00:00:00,4.88,339,172.23
27/06/2017 00:00:00,7.85,252,35552.62
28/06/2017 00:00:00,12.92,261,75241.97
29/06/2017 00:00:00,11.51,267,62038.67
30/06/2017 00:00:00,NA,NA,NA
01/07/2017 00:00:00,NA,NA,NA
02/07/2017 00:00:00,NA,NA,NA
03/07/2017 00:00:00,5.18,106,16617.48
04/07/2017 00:00:00,4.45,137,51768.58
05/07/2017 00:00:00,3.4,266,8920.8
06/07/2017 00:00:00,3.14,333,6289.38
07/07/2017 00:00:00,3.39,331,11998.84
08/07/2017 00:00:00,3.94,28,10435.46
09/07/2017 00:00:00,3.63,287,9122.04
10/07/2017 00:00:00,3.79,311,3869.17
11/07/2017 00:00:00,3.72,256,24189.11
12/07/2017 00:00:00,3.55,287,8876.58
13/07/2017 00:00:00,4.5,26,28345.76
14/07/2017 00:00:00,6.92,56,131911.65
15/07/2017 00:00:00,7.38,85,138227.08
16/07/2017 00:00:00,5.94,96,67265.22
17/07/2017 00:00:00,4.45,99,34335.49
18/07/2017 00:00:00,4.49,239,57251.58
19/07/2017 00:00:00,6.07,254,77942.63
20/07/2017 00:00:00,3.79,324,6635.83
21/07/2017 00:00:00,4.14,261,42564.98
22/07/2017 00:00:00,5,274,44244.4
23/07/2017 00:00:00,4.57,275,29838.15
24/07/2017 00:00:00,4.2,330,11085.48
25/07/2017 00:00:00,3.27,6,2345.4
26/07/2017 00:00:00,3.03,262,5233.16
27/07/2017 00:00:00,3.08,253,16511.53
28/07/2017 00:00:00,3.5,235,13708.78
29/07/2017 00:00:00,6.76,228,145048.47
30/07/2017 00:00:00,4.45,268,39422.74
